step,loss,steps_per_s,lr
53500,0.01205,3.79,8.36e-05
53600,0.01053,3.96,8.35e-05
53700,0.01156,3.72,8.35e-05
53800,0.01089,4.05,8.34e-05
53900,0.01096,3.99,8.33e-05
54000,0.01109,4.16,8.33e-05
54100,0.01197,3.44,8.32e-05
54200,0.01233,4.11,8.32e-05
54300,0.01119,4.02,8.31e-05
54400,0.01029,4.24,8.30e-05
54500,0.01200,3.86,8.30e-05
54600,0.01146,4.19,8.29e-05
54700,0.01127,3.98,8.29e-05
54800,0.01193,4.14,8.28e-05
54900,0.01195,3.71,8.27e-05
55000,0.01187,4.00,8.27e-05
55100,0.01244,3.86,8.26e-05
55200,0.01131,4.23,8.26e-05
55300,0.01134,3.76,8.25e-05
55400,0.01072,4.24,8.24e-05
55500,0.01116,4.00,8.24e-05
55600,0.01078,4.12,8.23e-05
55700,0.01162,3.49,8.23e-05
55800,0.01069,4.09,8.22e-05
55900,0.01149,3.97,8.21e-05
56000,0.01174,4.19,8.21e-05
56100,0.01041,3.72,8.20e-05
56200,0.01141,4.21,8.20e-05
56300,0.01150,4.02,8.19e-05
56400,0.01096,4.16,8.18e-05
56500,0.01176,3.85,8.18e-05
56600,0.01146,4.17,8.17e-05
56700,0.01213,3.84,8.17e-05
56800,0.01043,4.01,8.16e-05
56900,0.01036,3.66,8.15e-05
57000,0.01156,3.95,8.15e-05
57100,0.01079,3.60,8.14e-05
57200,0.01170,3.80,8.14e-05
57300,0.01203,3.58,8.13e-05
57400,0.01226,3.98,8.12e-05
57500,0.01136,3.86,8.12e-05
57600,0.01011,4.00,8.11e-05
57700,0.01034,3.68,8.11e-05
57800,0.01174,4.05,8.10e-05
57900,0.01115,3.85,8.09e-05
58000,0.01206,4.10,8.09e-05
58100,0.01034,3.70,8.08e-05
58200,0.00952,4.01,8.07e-05
58300,0.01080,3.91,8.07e-05
58400,0.01052,4.08,8.06e-05
58500,0.01128,3.71,8.06e-05
58600,0.01057,4.02,8.05e-05
58700,0.01208,3.78,8.04e-05
58800,0.01099,4.09,8.04e-05
58900,0.01121,3.69,8.03e-05
59000,0.01293,4.01,8.02e-05
59100,0.01197,3.86,8.02e-05
59200,0.01114,3.95,8.01e-05
59300,0.01054,3.72,8.01e-05
59400,0.01052,4.01,8.00e-05
59500,0.01063,3.88,7.99e-05
59600,0.01048,4.12,7.99e-05
59700,0.01081,3.59,7.98e-05
59800,0.01058,4.03,7.97e-05
59900,0.01068,3.87,7.97e-05
60000,0.01096,4.08,7.96e-05
60100,0.01018,3.68,7.95e-05
60200,0.01108,4.02,7.95e-05
60300,0.01136,3.79,7.94e-05
60400,0.01094,4.11,7.94e-05
60500,0.01125,3.56,7.93e-05
60600,0.01077,3.91,7.92e-05
60700,0.01117,3.86,7.92e-05
60800,0.01024,4.08,7.91e-05
60900,0.01057,3.73,7.90e-05
61000,0.01110,4.05,7.90e-05
61100,0.01022,3.89,7.89e-05
61200,0.01146,3.70,7.88e-05
61300,0.01033,3.50,7.88e-05
61400,0.01132,3.96,7.87e-05
61500,0.01056,3.87,7.87e-05
61600,0.01110,3.95,7.86e-05
61700,0.01099,3.50,7.85e-05
61800,0.01071,3.93,7.85e-05
61900,0.01086,3.76,7.84e-05
62000,0.01120,3.94,7.83e-05
62100,0.01024,3.59,7.83e-05
62200,0.01127,3.93,7.82e-05
62300,0.00981,3.83,7.81e-05
62400,0.00965,4.11,7.81e-05
62500,0.01022,3.72,7.80e-05
62600,0.01039,4.03,7.79e-05
62700,0.01079,3.87,7.79e-05
62800,0.01007,4.00,7.78e-05
62900,0.01067,3.63,7.77e-05
63000,0.01078,3.77,7.77e-05
63100,0.01112,3.71,7.76e-05
63200,0.01002,3.94,7.75e-05
63300,0.01041,3.54,7.75e-05
63400,0.01132,3.83,7.74e-05
63500,0.01109,3.70,7.73e-05
63600,0.01055,3.94,7.73e-05
63700,0.01013,3.54,7.72e-05
63800,0.01088,3.82,7.71e-05
63900,0.01025,3.78,7.71e-05
64000,0.00999,4.13,7.70e-05
64100,0.01058,3.77,7.70e-05
64200,0.01050,4.07,7.69e-05
64300,0.01006,3.91,7.68e-05
64400,0.01088,4.09,7.68e-05
64500,0.01063,3.74,7.67e-05
64600,0.01235,4.07,7.66e-05
64700,0.01078,3.89,7.66e-05
64800,0.01009,4.12,7.65e-05
64900,0.01126,3.74,7.64e-05
65000,0.01009,4.06,7.64e-05
65100,0.00995,3.91,7.63e-05
65200,0.01127,4.15,7.62e-05
65300,0.01073,3.72,7.62e-05
65400,0.01008,3.94,7.61e-05
65500,0.00963,3.77,7.60e-05
65600,0.00970,4.00,7.59e-05
65700,0.01022,3.63,7.59e-05
65800,0.01058,3.91,7.58e-05
65900,0.01040,3.79,7.57e-05
66000,0.00940,3.86,7.57e-05
66100,0.00917,3.48,7.56e-05
