step,loss,steps_per_s,lr
27300,0.02172,3.22,9.56e-05
27400,0.02216,3.48,9.56e-05
27500,0.02340,3.33,9.55e-05
27600,0.02159,3.57,9.55e-05
27700,0.02132,3.27,9.55e-05
27800,0.02309,3.38,9.55e-05
27900,0.02259,3.44,9.54e-05
28000,0.02231,3.60,9.54e-05
28100,0.02245,3.19,9.54e-05
28200,0.02204,3.52,9.53e-05
28300,0.02126,3.48,9.53e-05
28400,0.02210,3.67,9.53e-05
28500,0.02096,3.26,9.52e-05
28600,0.02220,3.66,9.52e-05
28700,0.02286,3.64,9.52e-05
28800,0.02257,3.72,9.51e-05
28900,0.02207,3.32,9.51e-05
29000,0.02222,3.51,9.50e-05
29100,0.02179,3.60,9.50e-05
29200,0.02139,3.77,9.50e-05
29300,0.02165,3.34,9.49e-05
29400,0.02165,3.51,9.49e-05
29500,0.02168,3.55,9.49e-05
29600,0.02055,3.62,9.48e-05
29700,0.02204,3.24,9.48e-05
29800,0.02147,3.54,9.48e-05
29900,0.02093,3.27,9.47e-05
30000,0.02140,3.63,9.47e-05
30100,0.02161,3.21,9.47e-05
30200,0.02093,3.59,9.46e-05
30300,0.02050,3.41,9.46e-05
30400,0.02161,3.72,9.46e-05
30500,0.02117,3.26,9.45e-05
30600,0.02094,3.54,9.45e-05
30700,0.02141,3.47,9.45e-05
30800,0.02042,3.63,9.44e-05
30900,0.02098,3.22,9.44e-05
31000,0.02161,3.52,9.43e-05
31100,0.02071,3.35,9.43e-05
31200,0.02216,3.69,9.43e-05
31300,0.02125,3.31,9.42e-05
31400,0.02138,3.52,9.42e-05
31500,0.02211,3.38,9.42e-05
31600,0.01981,3.58,9.41e-05
31700,0.02016,3.23,9.41e-05
31800,0.02096,3.56,9.40e-05
31900,0.02118,3.49,9.40e-05
32000,0.02149,3.59,9.40e-05
32100,0.02093,3.13,9.39e-05
32200,0.02210,3.43,9.39e-05
32300,0.02064,3.43,9.39e-05
32400,0.02050,3.51,9.38e-05
32500,0.02179,3.29,9.38e-05
32600,0.02038,3.55,9.37e-05
32700,0.02147,3.32,9.37e-05
32800,0.02096,3.59,9.37e-05
32900,0.02124,3.07,9.36e-05
33000,0.02162,3.49,9.36e-05
33100,0.02063,3.29,9.36e-05
33200,0.02012,3.48,9.35e-05
33300,0.02150,3.28,9.35e-05
33400,0.02225,3.43,9.34e-05
33500,0.02103,3.36,9.34e-05
33600,0.02023,3.67,9.34e-05
33700,0.02077,3.24,9.33e-05
33800,0.02305,3.53,9.33e-05
33900,0.02321,3.53,9.32e-05
34000,0.02197,3.60,9.32e-05
34100,0.02103,3.26,9.32e-05
34200,0.02132,3.61,9.31e-05
34300,0.02119,3.40,9.31e-05
34400,0.02037,3.68,9.30e-05
34500,0.02028,3.32,9.30e-05
34600,0.01911,3.65,9.30e-05
34700,0.02067,3.48,9.29e-05
34800,0.02096,3.68,9.29e-05
34900,0.02012,3.38,9.28e-05
35000,0.02147,3.69,9.28e-05
35100,0.02120,3.57,9.28e-05
35200,0.01993,3.72,9.27e-05
35300,0.01936,3.53,9.27e-05
35400,0.01989,3.88,9.26e-05
35500,0.02129,3.70,9.26e-05
35600,0.02038,3.86,9.26e-05
35700,0.01928,3.50,9.25e-05
35800,0.02037,3.79,9.25e-05
35900,0.02117,3.69,9.24e-05
36000,0.02022,3.85,9.24e-05
36100,0.01973,3.45,9.23e-05
36200,0.01962,3.78,9.23e-05
